City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
14,Fortuna,US,66.92,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
15,Vila Velha,BR,71.55,light rain,-20.3297,-40.2925,Quality Suites Vila Velha
17,Mahébourg,MU,72.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
31,Lompoc,US,71.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
34,Port Alfred,ZA,67.12,overcast clouds,-33.5906,26.891,The Halyards Hotel
49,Rikitea,PF,73.8,light rain,-23.1203,-134.9692,People ThankYou
56,Chui,UY,71.49,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
57,Saint-François,FR,65.64,overcast clouds,46.4154,3.9054,Manoir Du Bonheur
59,Kruisfontein,ZA,69.89,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
64,Ajdabiya,LY,69.89,scattered clouds,30.7554,20.2263,Almadina Hotel
65,Guarapari,BR,71.49,moderate rain,-20.6667,-40.4975,Hotel Porto do Sol
71,Mananjary,MG,73.04,light rain,-21.2167,48.3333,Vahiny Lodge
76,Gympie,AU,66.02,overcast clouds,-26.1898,152.665,Mary River Motor Inn
82,Port Elizabeth,ZA,72.1,clear sky,-33.918,25.5701,39 On Nile Guest House
83,Saint-Pierre,RE,71.28,clear sky,-21.3393,55.4781,Lindsey Hôtel
86,Mayo,US,68.41,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
91,Harrison,US,73.76,clear sky,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
98,Souillac,MU,72.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
101,Arraial do Cabo,BR,73.36,mist,-22.9661,-42.0278,Pousada Porto Praia
108,Ribeira Grande,PT,68.4,broken clouds,38.5167,-28.7,Quinta da Meia Eira
115,Hinganghāt,IN,67.41,clear sky,20.5667,78.8333,RuPeSH MeNDHe ReSiDeNCe.
121,Kālāvad,IN,74.88,clear sky,22.2167,70.3833,Hetu Bapu Kadri
128,Montemor-o-Novo,PT,67.41,overcast clouds,38.6481,-8.2145,L'and Vineyards
136,Lata,PT,67.93,light rain,40.1629,-8.3327,Casa Maquia
138,Ancud,CL,72.93,scattered clouds,-41.8697,-73.8203,Hotel Arena Gruesa
148,Richards Bay,ZA,65.08,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
153,Mineiros,BR,69.01,overcast clouds,-17.5694,-52.5511,Pilões Palace Hotel
156,Carnarvon,AU,68.07,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
159,Rocha,UY,71.37,overcast clouds,-34.4833,-54.3333,Beleza Pura B&B
161,Mt. Pleasant,US,73.31,clear sky,32.7941,-79.8626,Best Western Patriots Point
165,Vao,NC,71.2,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
176,Tooele,US,67.24,scattered clouds,40.5308,-112.2983,"Holiday Inn Express & Suites Tooele, an IHG Hotel"
181,Payo,ID,73.17,overcast clouds,-3.7508,103.6372,Mess keban agung
183,Sterling,US,67.44,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
186,Half Moon Bay,US,67.24,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
192,Dholka,IN,66.58,clear sky,22.7167,72.4667,jalalpur godhaneshwer
196,Laguna,US,67.98,broken clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
197,Darnah,LY,67.44,overcast clouds,32.767,22.6367,فندق الفردوس
200,Ponta do Sol,PT,75.0,broken clouds,32.6667,-17.1,Hotel do Campo
204,Buta,CD,67.82,light rain,2.7858,24.73,HOTEL BISO NA BISO
207,Saint-Philippe,RE,69.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
210,Nouadhibou,MR,73.38,clear sky,20.931,-17.0347,El Medina
212,Antalaha,MG,72.39,light rain,-14.9003,50.2788,Hotel Vitasoa
238,Vila Franca do Campo,PT,71.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
247,Bani Walid,LY,74.1,overcast clouds,31.7566,13.9942,منزل الصابر أبوفانة
248,Meïganga,CM,68.41,broken clouds,6.5167,14.3,DFR HOUSE
254,Moranbah,AU,72.73,overcast clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
257,Lagoa,PT,69.6,overcast clouds,39.05,-27.9833,Casa Das Faias
258,Pisco,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
269,Bambous Virieux,MU,72.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
