,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Barrow,US,71.2906,-156.7887,28.42,86,90,19.57,mist
1,Umluj,SA,25.0213,37.2685,85.05,54,97,4.99,overcast clouds
2,Atuona,PF,-9.8,-139.0333,78.71,78,4,21.16,clear sky
3,Iberia,US,29.9502,-91.7507,76.96,43,1,6.91,clear sky
4,Beringovskiy,RU,63.05,179.3167,6.53,92,97,12.59,overcast clouds
5,Nyrob,RU,60.733,56.7202,37.45,98,100,8.68,overcast clouds
6,Mataura,NZ,-46.1927,168.8643,49.87,57,82,3.98,light rain
7,Ushuaia,AR,-54.8,-68.3,56.86,38,0,0.0,clear sky
8,Avarua,CK,-21.2078,-159.775,75.25,69,90,9.22,light rain
9,Baoning,CN,25.3378,110.026,60.66,100,90,4.47,mist
10,Puerto Ayora,EC,-0.7393,-90.3518,78.76,79,43,8.9,scattered clouds
11,Marystown,CA,47.1666,-55.1483,46.85,100,100,5.01,overcast clouds
12,Lodwar,KE,3.1191,35.5973,88.7,32,80,21.65,broken clouds
13,Glendive,US,47.1053,-104.7125,42.69,48,1,14.97,clear sky
14,Fortuna,US,40.5982,-124.1573,66.92,66,40,7.0,scattered clouds
15,Vila Velha,BR,-20.3297,-40.2925,71.55,94,90,10.36,light rain
16,Kapaa,US,22.0752,-159.319,79.2,78,1,1.01,clear sky
17,Mahébourg,MU,-20.4081,57.7,72.25,83,75,3.44,broken clouds
18,Salalah,OM,17.0151,54.0924,77.09,50,0,3.44,clear sky
19,Qinhuangdao,CN,39.9317,119.5883,43.11,54,1,5.32,clear sky
20,Shuangcheng,CN,45.35,126.2833,33.48,91,79,6.22,broken clouds
21,Wanlaweyn,SO,2.6185,44.8938,78.82,73,2,13.18,clear sky
22,Umba,RU,66.6871,34.3429,34.57,92,100,10.71,overcast clouds
23,Metro,ID,-5.1131,105.3067,76.3,89,100,3.06,overcast clouds
24,Chauk,MM,20.8833,94.8167,76.12,91,67,3.22,broken clouds
25,Bayir,TR,37.2687,28.2167,57.72,96,100,2.51,moderate rain
26,Hermanus,ZA,-34.4187,19.2345,62.91,82,100,10.29,overcast clouds
27,Beloha,MG,-25.1667,45.05,73.33,74,98,4.61,light rain
28,Abu Samrah,SY,35.3029,37.1841,69.22,51,98,15.75,overcast clouds
29,Hithadhoo,MV,-0.6,73.0833,82.31,77,100,18.25,overcast clouds
30,Vaini,TO,-21.2,-175.2,77.16,88,20,8.05,few clouds
31,Lompoc,US,34.6391,-120.4579,71.69,62,1,5.75,clear sky
32,Hobart,AU,-42.8794,147.3294,55.26,64,100,1.99,overcast clouds
33,Langham,CA,52.3668,-106.9679,38.01,43,16,11.65,few clouds
34,Port Alfred,ZA,-33.5906,26.891,67.12,83,100,17.02,overcast clouds
35,Albany,US,42.6001,-73.9662,60.46,80,100,11.03,overcast clouds
36,Nieuw Nickerie,SR,5.95,-56.9833,82.38,72,81,10.31,broken clouds
37,Saskylakh,RU,71.9167,114.0833,8.51,97,99,5.06,overcast clouds
38,Provideniya,RU,64.3833,-173.3,19.51,63,20,8.95,few clouds
39,Yulara,AU,-25.2406,130.9889,64.24,82,90,2.3,overcast clouds
40,Lebu,CL,-37.6167,-73.65,57.99,76,97,8.14,overcast clouds
41,Hilo,US,19.7297,-155.09,81.25,67,1,3.44,clear sky
42,Punta Arenas,CL,-53.15,-70.9167,57.31,41,0,8.05,clear sky
43,Turbat,PK,26.0023,63.044,80.8,16,0,24.52,clear sky
44,Cape Town,ZA,-33.9258,18.4232,64.11,81,20,3.44,few clouds
45,Padang,ID,-0.9492,100.3543,75.81,93,100,3.96,overcast clouds
46,San-Pédro,CI,4.7485,-6.6363,78.46,86,43,8.63,light rain
47,Matara,LK,5.9485,80.5353,77.14,89,89,3.2,overcast clouds
48,Nanortalik,GL,60.1432,-45.2371,33.87,74,71,11.03,broken clouds
49,Rikitea,PF,-23.1203,-134.9692,73.8,87,78,6.4,light rain
50,Gisborne,NZ,-38.6533,178.0042,61.95,54,100,2.57,overcast clouds
51,Bredasdorp,ZA,-34.5322,20.0403,59.29,83,100,7.16,overcast clouds
52,Bluff,NZ,-46.6,168.3333,51.57,69,92,20.92,overcast clouds
53,Lavrentiya,RU,65.5833,-171.0,12.36,81,4,12.1,clear sky
54,Busselton,AU,-33.65,115.3333,54.05,73,94,19.98,overcast clouds
55,Khatanga,RU,71.9667,102.5,5.5,96,100,10.29,light snow
56,Chui,UY,-33.6971,-53.4616,71.49,78,46,9.93,scattered clouds
57,Saint-François,FR,46.4154,3.9054,65.64,59,90,11.5,overcast clouds
58,Ilulissat,GL,69.2167,-51.1,32.02,93,75,17.27,snow
59,Kruisfontein,ZA,-34.0033,24.7314,69.89,86,70,5.68,broken clouds
60,Tasiilaq,GL,65.6145,-37.6368,26.76,61,98,4.72,overcast clouds
61,Gyula,HU,46.65,21.2833,46.62,66,0,4.18,clear sky
62,Dutse,NG,11.7594,9.3392,80.85,16,100,5.03,overcast clouds
63,Cockburn Town,TC,21.4612,-71.1419,82.31,69,39,7.61,scattered clouds
64,Ajdabiya,LY,30.7554,20.2263,69.89,72,33,8.68,scattered clouds
65,Guarapari,BR,-20.6667,-40.4975,71.49,93,100,9.28,moderate rain
66,Ulaangom,MN,49.9811,92.0667,34.52,51,100,3.56,overcast clouds
